Date,Open,High,Low,Close,Adj Close,Volume
2016-03-31,71.98999786376953,72.2300033569336,71.2699966430664,71.44999694824219,60.85715103149414,1241300
2016-04-01,71.18000030517578,72.68000030517578,70.91999816894531,72.56999969482422,61.811119079589844,979000
2016-04-04,72.33000183105469,72.63999938964844,71.73999786376953,72.06999969482422,61.725467681884766,703100
2016-04-05,71.37000274658203,72.29000091552734,71.3499984741211,71.43000030517578,61.177330017089844,1240900
2016-04-06,71.43000030517578,73.25,71.43000030517578,73.16000366210938,62.65901184082031,893900
2016-04-07,72.66000366210938,73.33000183105469,71.61000061035156,71.9800033569336,61.64838409423828,724100
2016-04-08,72.58999633789062,72.79000091552734,72.08000183105469,72.3499984741211,61.965267181396484,869400
2016-04-11,72.51000213623047,72.80999755859375,72.08000183105469,72.6500015258789,62.22221755981445,622800
2016-04-12,72.88999938964844,73.19999694824219,72.38999938964844,72.8499984741211,62.39351272583008,729700
2016-04-13,73.36000061035156,73.5,72.9000015258789,73.22000122070312,62.71039962768555,945300
2016-04-14,73.27999877929688,74.41999816894531,72.94999694824219,73.94999694824219,63.33561706542969,786800
2016-04-15,74.06999969482422,74.51000213623047,73.61000061035156,74.44999694824219,63.763851165771484,740200
2016-04-18,74.4000015258789,75.06999969482422,74.02999877929688,74.75,64.02079010009766,809300
2016-04-19,75.06999969482422,75.19999694824219,74.05999755859375,74.37000274658203,63.69533920288086,792100
2016-04-20,74.25,75.02999877929688,73.7300033569336,74.72000122070312,63.995113372802734,942600
2016-04-21,74.93000030517578,75.80000305175781,73.20999908447266,75.0,64.23490905761719,1202900
2016-04-22,75.13999938964844,75.5,74.4000015258789,75.30000305175781,64.49187469482422,1008200
2016-04-25,75.44000244140625,75.5,74.27999877929688,75.36000061035156,64.5432357788086,1126700
2016-04-26,75.54000091552734,76.0,75.2699966430664,75.69999694824219,64.83441925048828,768000
2016-04-27,75.54000091552734,76.0,75.2699966430664,75.72000122070312,64.8515625,1094500
2016-04-28,75.33999633789062,76.19999694824219,75.13999938964844,75.33000183105469,64.5175552368164,722600
2016-04-29,75.37999725341797,76.13999938964844,74.55999755859375,75.16999816894531,64.38052368164062,1125700
