Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,91.62999725341797,92.18000030517578,91.1500015258789,91.91999816894531,80.48384857177734,7239500
2019-01-02,91.02999877929688,91.38999938964844,89.93000030517578,91.27999877929688,79.92346954345703,9843900
2019-01-03,90.94000244140625,92.5,90.37999725341797,90.63999938964844,79.36311340332031,9820200
2019-01-04,90.83999633789062,92.48999786376953,90.37000274658203,92.48999786376953,80.98294067382812,10565700
2019-01-07,91.91000366210938,92.5,91.4000015258789,92.12000274658203,80.65897369384766,9012500
2019-01-08,92.69999694824219,93.08999633789062,91.81999969482422,92.45999908447266,80.95667266845703,9551300
2019-01-09,92.69000244140625,92.95999908447266,90.80999755859375,90.94999694824219,79.63453674316406,15015600
2019-01-10,90.88999938964844,91.54000091552734,90.61000061035156,91.16999816894531,79.8271713256836,11102300
2019-01-11,91.66999816894531,91.9800033569336,91.11000061035156,91.7699966430664,80.3525161743164,7166600
2019-01-14,91.5,91.91000366210938,90.8499984741211,91.1500015258789,79.80963134765625,7952000
2019-01-15,91.1500015258789,92.61000061035156,91.13999938964844,92.01000213623047,80.56266021728516,7834500
2019-01-16,91.73999786376953,92.1500015258789,90.98999786376953,91.37000274658203,80.00228881835938,7964500
2019-01-17,90.70999908447266,91.55999755859375,90.3499984741211,90.63999938964844,79.99079895019531,8044500
2019-01-18,91.37000274658203,91.83999633789062,91.04000091552734,91.41999816894531,80.67916107177734,9100300
2019-01-22,91.38999938964844,91.75,89.08000183105469,90.44000244140625,79.81429290771484,13518500
2019-01-23,94.18000030517578,96.41000366210938,93.62999725341797,94.83999633789062,83.69735717773438,22869000
2019-01-24,94.29000091552734,94.55999755859375,93.19000244140625,94.30000305175781,83.2208023071289,12146400
2019-01-25,94.41999816894531,94.88999938964844,93.05999755859375,93.5999984741211,82.60303497314453,10618000
2019-01-28,93.31999969482422,93.97000122070312,92.97000122070312,93.5199966430664,82.5324478149414,9765600
2019-01-29,93.79000091552734,94.12000274658203,93.0999984741211,93.54000091552734,82.55009460449219,9769800
2019-01-30,93.61000061035156,94.66000366210938,93.56999969482422,94.5199966430664,83.41493225097656,7750200
2019-01-31,94.43000030517578,96.80999755859375,94.08000183105469,96.47000122070312,85.1358413696289,16044400
2019-02-01,96.3499984741211,97.61000061035156,95.98999786376953,97.47000122070312,86.01835632324219,12720800
2019-02-04,97.20999908447266,98.22000122070312,96.72000122070312,98.02999877929688,86.51256561279297,11887500
2019-02-05,97.98999786376953,98.0199966430664,97.20999908447266,97.44000244140625,85.99188232421875,9772300
2019-02-06,97.25,98.31999969482422,97.12000274658203,97.91999816894531,86.41551208496094,8693900
