Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,238.6699981689453,241.97999572753906,238.22999572753906,241.4199981689453,241.4199981689453,169500
2018-01-03,242.33999633789062,251.85000610351562,242.33999633789062,250.47000122070312,250.47000122070312,233100
2018-01-04,251.52000427246094,251.52000427246094,247.6199951171875,248.49000549316406,248.49000549316406,143000
2018-01-05,249.1300048828125,250.02000427246094,248.0800018310547,249.0500030517578,249.0500030517578,102100
2018-01-08,248.52000427246094,251.8800048828125,247.41000366210938,251.0,251.0,233700
2018-01-09,252.17999267578125,257.3599853515625,250.0500030517578,256.1199951171875,256.1199951171875,216100
2018-01-10,255.33999633789062,255.33999633789062,249.6199951171875,249.8000030517578,249.8000030517578,166200
2018-01-11,250.16000366210938,252.16000366210938,247.58999633789062,251.2100067138672,251.2100067138672,169600
2018-01-12,251.47999572753906,251.47999572753906,246.4499969482422,248.3699951171875,248.3699951171875,176300
2018-01-16,249.17999267578125,251.05999755859375,245.6199951171875,249.11000061035156,249.11000061035156,106100
2018-01-17,250.5399932861328,254.6300048828125,250.13999938964844,252.63999938964844,252.63999938964844,201600
2018-01-18,251.74000549316406,252.72000122070312,248.8300018310547,252.5,252.5,126100
2018-01-19,252.89999389648438,255.88999938964844,251.27000427246094,254.5399932861328,254.5399932861328,272500
2018-01-22,253.27999877929688,255.8000030517578,250.9499969482422,254.64999389648438,254.64999389648438,134800
2018-01-23,255.39999389648438,258.20001220703125,254.36000061035156,254.8300018310547,254.8300018310547,150000
2018-01-24,255.9499969482422,257.1199951171875,252.39999389648438,254.41000366210938,254.41000366210938,141300
2018-01-25,255.75999450683594,259.2099914550781,254.47999572753906,259.1099853515625,259.1099853515625,113800
2018-01-26,259.2300109863281,263.6499938964844,254.5500030517578,261.8900146484375,261.8900146484375,212300
2018-01-29,261.05999755859375,266.9800109863281,261.05999755859375,263.4100036621094,263.4100036621094,134600
2018-01-30,261.1099853515625,261.8599853515625,256.94000244140625,259.20001220703125,259.20001220703125,108200
2018-01-31,261.010009765625,264.8900146484375,256.0799865722656,258.5299987792969,258.5299987792969,104600
2018-02-01,257.80999755859375,259.989990234375,256.2300109863281,258.75,258.75,233600
2018-02-02,257.6199951171875,259.8299865722656,253.9199981689453,254.33999633789062,254.33999633789062,97400
2018-02-05,252.47000122070312,255.02000427246094,245.60000610351562,247.22999572753906,247.22999572753906,188300
2018-02-06,243.44000244140625,249.25999450683594,240.5399932861328,246.47000122070312,246.47000122070312,220200
2018-02-07,245.5800018310547,248.1999969482422,243.0399932861328,243.75999450683594,243.75999450683594,209400
2018-02-08,244.11000061035156,245.85000610351562,233.47999572753906,233.97000122070312,233.97000122070312,160200
2018-02-09,235.33999633789062,240.3000030517578,231.0,236.72000122070312,236.72000122070312,177500
2018-02-12,238.07000732421875,242.08999633789062,233.9600067138672,239.69000244140625,239.69000244140625,159800
2018-02-13,239.0,240.42999267578125,235.7100067138672,237.36000061035156,237.36000061035156,157300
2018-02-14,235.49000549316406,249.5800018310547,235.49000549316406,247.91000366210938,247.91000366210938,166800
2018-02-15,248.33999633789062,250.17999267578125,243.02000427246094,246.8300018310547,246.8300018310547,115400
2018-02-16,244.89999389648438,251.38999938964844,240.14999389648438,249.0399932861328,249.0399932861328,209200
2018-02-20,247.6199951171875,254.22999572753906,246.30999755859375,251.1199951171875,251.1199951171875,204900
2018-02-21,251.74000549316406,255.69000244140625,245.27999877929688,245.6199951171875,245.6199951171875,178600
2018-02-22,246.75,250.2100067138672,243.0399932861328,248.0800018310547,248.0800018310547,228000
2018-02-23,249.10000610351562,254.8300018310547,246.6300048828125,254.30999755859375,254.30999755859375,204100
2018-02-26,254.72000122070312,259.239990234375,253.2100067138672,257.8500061035156,257.8500061035156,168900
2018-02-27,257.55999755859375,258.9800109863281,252.91000366210938,254.0,254.0,155200
2018-02-28,274.80999755859375,279.5899963378906,264.6000061035156,270.0400085449219,270.0400085449219,429000
2018-03-01,271.2900085449219,271.2900085449219,260.4100036621094,264.82000732421875,264.82000732421875,220000
2018-03-02,262.1199951171875,264.4599914550781,259.6499938964844,263.0400085449219,263.0400085449219,261100
2018-03-05,261.2300109863281,261.6000061035156,256.2699890136719,259.9800109863281,259.9800109863281,152800
2018-03-06,260.3999938964844,263.80999755859375,257.57000732421875,262.3399963378906,262.3399963378906,202800
2018-03-07,260.8699951171875,272.0400085449219,259.8500061035156,265.6300048828125,265.6300048828125,235600
2018-03-08,266.3999938964844,267.5799865722656,264.010009765625,265.8399963378906,265.8399963378906,99900
2018-03-09,267.5,275.3399963378906,265.489990234375,274.1099853515625,274.1099853515625,143600
2018-03-12,273.9599914550781,276.0,267.5299987792969,273.8399963378906,273.8399963378906,78900
2018-03-13,274.57000732421875,274.989990234375,268.8599853515625,270.94000244140625,270.94000244140625,68400
2018-03-14,272.0799865722656,272.8399963378906,265.30999755859375,269.3999938964844,269.3999938964844,93000
2018-03-15,269.1000061035156,271.3999938964844,266.1499938964844,268.5799865722656,268.5799865722656,85900
2018-03-16,269.7699890136719,269.7699890136719,259.95001220703125,263.0,263.0,286700
2018-03-19,262.239990234375,264.1400146484375,258.6499938964844,262.2699890136719,262.2699890136719,139400
2018-03-20,263.9700012207031,264.04998779296875,260.6300048828125,262.6400146484375,262.6400146484375,70500
2018-03-21,261.8800048828125,263.8800048828125,258.5299987792969,260.9100036621094,260.9100036621094,82400
2018-03-22,259.4200134277344,261.4800109863281,252.6699981689453,252.69000244140625,252.69000244140625,149800
2018-03-23,252.5,254.8000030517578,246.7100067138672,247.05999755859375,247.05999755859375,111500
2018-03-26,250.9199981689453,254.49000549316406,246.17999267578125,253.5,253.5,136800
2018-03-27,254.07000732421875,254.07000732421875,245.83999633789062,249.5800018310547,249.5800018310547,174800
